VOC,Toy_data,Kitti,Augmentations,Batchnorm,Pretrained,Accuracy
1,0,0,1,1,1,0.625
1,0,0,1,1,1,0.6205
1,0,0,1,1,1,0.6062
1,0,0,1,1,1,0.6164
1,0,0,1,1,1,0.6271
1,0,0,0,1,1,0.347
1,0,0,0,1,1,0.3411
1,0,0,0,1,1,0.3686
1,0,0,0,1,1,0.3191
1,0,0,0,1,1,0.3287
1,0,0,0,0,1,0.2687
1,0,0,0,0,1,0.4055
1,0,0,0,0,1,0.3836
1,0,0,0,0,1,0.396
1,0,0,1,0,1,0.6267
1,0,0,1,0,1,0.6308
1,0,0,1,0,1,0.6285
1,0,0,1,0,1,0.6344
1,0,0,1,1,0,0.5712
1,0,0,1,1,0,0.5678
1,0,0,1,1,0,0.3215
1,0,0,1,1,0,0.5654
1,0,0,0,1,0,0.2527
1,0,0,0,1,0,0.3411
1,0,0,0,1,0,0.3686
1,0,0,0,1,0,0.3553
1,0,0,0,1,0,0.3287
1,0,0,0,0,0,0.1074
1,0,0,0,0,0,0.0969
1,0,0,0,0,0,0.1193
1,0,0,0,0,0,0.1101
1,0,0,1,0,0,0.3499
1,0,0,1,0,0,0.365
1,0,0,1,0,0,0.4036
1,0,0,1,0,0,0.3373
0,1,0,1,1,1,0.7671
0,1,0,1,1,1,0.4391
0,1,0,1,1,1,0.652
0,1,0,0,1,1,0.043
0,1,0,0,1,1,0.532
0,1,0,0,1,1,0.4034
0,1,0,0,1,1,0.4864
0,1,0,0,0,1,0.4781
0,1,0,0,0,1,0.5322
0,1,0,1,0,1,0.3711
0,1,0,1,0,1,0.7072
0,1,0,1,0,1,0.8242
0,1,0,1,0,1,0.8181
0,1,0,1,0,1,0.8184
0,1,0,1,1,0,0.4781
0,1,0,1,1,0,0.627
0,1,0,1,1,0,0.5314
0,1,0,1,1,0,0.8148
0,1,0,0,1,0,0.0182
0,1,0,0,1,0,0.4558
0,1,0,0,1,0,0.3955
0,1,0,0,1,0,0.6814
0,1,0,0,0,0,0.1806
0,1,0,0,0,0,0.571
0,1,0,0,0,0,0.4416
0,1,0,0,0,0,0.4476
0,1,0,1,0,0,0.7482
0,1,0,1,0,0,0.7832
0,1,0,1,0,0,0.7865
0,0,1,1,1,1,0.099
0,0,1,1,1,1,0.1267
0,0,1,1,1,1,0.1154
0,0,1,1,1,1,0.1117
0,0,1,0,1,1,0.0279
0,0,1,0,1,1,0.0232
0,0,1,0,1,1,0.0242
0,0,1,0,1,1,0.0222
0,0,1,0,0,1,0.03
0,0,1,0,0,1,0.0176
0,0,1,0,0,1,0.0422
0,0,1,0,0,1,0.0386
0,0,1,1,0,1,0.1104
0,0,1,1,0,1,0.1351
0,0,1,1,0,1,0.1293
0,0,1,1,1,0,0.1121
0,0,1,1,1,0,0.1351
0,0,1,1,1,0,0.1136
0,0,1,1,1,0,0.1014
0,0,1,0,1,0,0.025
0,0,1,0,1,0,0.025
0,0,1,0,1,0,0.0458
0,0,1,0,0,0,0.0202
0,0,1,0,0,0,0.0676
0,0,1,0,0,0,0.0165
0,0,1,0,0,0,0.0036
0,0,1,1,0,0,0.0665
0,0,1,1,0,0,0.0438
0,0,1,1,0,0,0.0423
0,0,1,1,0,0,0.0466
