Deformation_data,Rotation_data,Translation_data,Scale_data,Pretrained,Accuracy
1,0,0,0,1,0.9237
1,0,0,0,1,0.8462
1,0,0,0,1,0.8947
1,0,0,0,1,0.9047
1,0,0,0,1,0.9088
1,0,0,0,0,0.9237
1,0,0,0,0,0.9302
1,0,0,0,0,0.9267
1,0,0,0,0,0.932
1,0,0,0,0,0.9293
0,1,0,0,1,0.6568
0,1,0,0,1,0.6259
0,1,0,0,1,0.6226
0,1,0,0,1,0.6486
0,1,0,0,1,0.5803
0,1,0,0,1,0.5989
0,1,0,0,0,0.6568
0,1,0,0,0,0.6316
0,1,0,0,0,0.6302
0,1,0,0,0,0.6247
0,1,0,0,0,0.6317
0,1,0,0,0,0.6335
0,0,1,0,1,0.0005
0,0,1,0,1,0.0011
0,0,1,0,1,0.0019
0,0,1,0,1,0.0024
0,0,1,0,1,0.0016
0,0,1,0,0,0.0005
0,0,1,0,0,0.0009
0,0,1,0,0,0.0011
0,0,1,0,0,0.0035
0,0,1,0,0,0.0009
0,0,0,1,1,0.6324
0,0,0,1,1,0.6422
0,0,0,1,1,0.6395
0,0,0,1,1,0.6395
0,0,0,1,1,0.6327
0,0,0,1,0,0.6324
0,0,0,1,0,0.6467
0,0,0,1,0,0.6485
0,0,0,1,0,0.6477
0,0,0,1,0,0.6447
