VOC,Kitti,Toy_data,Deformation_data,Rotation_data,Translation_data,Scale_data,Pretrained,Accuracy
1,0,0,0,0,0,0,1,0.5832
1,0,0,0,0,0,0,0,0.1608
0,1,0,0,0,0,0,1,0.1286
0,1,0,0,0,0,0,0,0.0372
0,0,1,0,0,0,0,1,0.8081
0,0,1,0,0,0,0,0,0.7477
0,0,0,1,0,0,0,1,0.9153
0,0,0,1,0,0,0,0,0.9028
0,0,0,0,1,0,0,1,0.6025
0,0,0,0,1,0,0,0,0.6788
0,0,0,0,0,1,0,1,0.8541
0,0,0,0,0,1,0,0,0.8418
0,0,0,0,0,0,1,1,0.64
0,0,0,0,0,0,1,0,0.6369
1,0,0,0,0,0,0,1,0.5705
1,0,0,0,0,0,0,0,0.1604
0,1,0,0,0,0,0,1,0.1297
0,1,0,0,0,0,0,0,0.0362
0,0,1,0,0,0,0,1,0.8098
0,0,1,0,0,0,0,0,0.7447
0,0,0,1,0,0,0,1,0.9139
0,0,0,1,0,0,0,0,0.9023
0,0,0,0,1,0,0,1,0.5955
0,0,0,0,1,0,0,0,0.6992
0,0,0,0,0,1,0,1,0.8526
0,0,0,0,0,1,0,0,0.8429
0,0,0,0,0,0,1,1,0.6408
0,0,0,0,0,0,1,0,0.6395
1,0,0,0,0,0,0,1,0.5712
1,0,0,0,0,0,0,0,0.1502
0,1,0,0,0,0,0,1,0.1134
0,1,0,0,0,0,0,0,0.038
0,0,1,0,0,0,0,1,0.8109
0,0,1,0,0,0,0,0,0.759
0,0,0,1,0,0,0,1,0.9209
0,0,0,1,0,0,0,0,0.8997
0,0,0,0,1,0,0,1,0.5802
0,0,0,0,1,0,0,0,0.6832
0,0,0,0,0,1,0,1,0.8551
0,0,0,0,0,1,0,0,0.8426
0,0,0,0,0,0,1,1,0.6432
0,0,0,0,0,0,1,0,0.6411
