Toy_data_small,VOC,twentyfivek,fivek,standard,sequential_scattering,parallel_scattering,Accuracy
1,0,1,0,1,0,0,0.6202
1,0,1,0,1,0,0,0.6303
1,0,1,0,1,0,0,0.6407
1,0,1,0,0,1,0,0.7613
1,0,1,0,0,1,0,0.7621
1,0,1,0,0,1,0,0.7542
1,0,1,0,0,0,1,0.422
1,0,1,0,0,0,1,0.4166
1,0,1,0,0,0,1,0.3942
1,0,0,1,1,0,0,0.0374
1,0,0,1,1,0,0,0.0388
1,0,0,1,1,0,0,0.0538
1,0,0,1,0,1,0,0.1115
1,0,0,1,0,1,0,0.0941
1,0,0,1,0,1,0,0.1583
1,0,0,1,0,0,1,0.0043
1,0,0,1,0,0,1,0.0024
1,0,0,1,0,0,1,0.0024
0,1,1,0,1,0,0,0.3305
0,1,1,0,1,0,0,0.3158
0,1,1,0,1,0,0,0.3034
0,1,1,0,0,1,0,0.0573
0,1,1,0,0,1,0,0.0579
0,1,1,0,0,1,0,0.0452
0,1,1,0,0,0,1,0.0121
0,1,1,0,0,0,1,0.014
0,1,1,0,0,0,1,0.0129
0,1,0,1,1,0,0,0.0257
0,1,0,1,1,0,0,0.0247
0,1,0,1,1,0,0,0.024
0,1,0,1,0,1,0,0.006
0,1,0,1,0,1,0,0.0058
0,1,0,1,0,1,0,0.0208
0,1,0,1,0,0,1,0.0042
0,1,0,1,0,0,1,0.0043
0,1,0,1,0,0,1,0.0043
